
Statistical table extracted on December 19, 2025 (10:04:22)
http://www.ine.pt



Data reference period (1) ;Place of residence (NUTS - 2013) (2) ;Resident population (No.) by Place of residence (NUTS - 2013), Sex and Age group (By life cycles) -  Annual;
;;Sex;
;;MF;
;;Age group (By life cycles);
;;Total;
;;No. ;
;2004301: Angra do Heroísmo;33786;
;2004501: Calheta;3494;
;2004901: Corvo;435;
;2004701: Horta;14466;
;2004201: Lagoa;14920;
;2004801: Lajes das Flores;1446;
;2004601: Lajes do Pico;4403;
;2004602: Madalena;6533;
;2004202: Nordeste;4436;
;2004203: Ponta Delgada;68758;
;2004204: Povoação;5867;
;2004205: Ribeira Grande;32280;
;2004401: Santa Cruz da Graciosa;4100;
;2004802: Santa Cruz das Flores;2098;
;2004603: São Roque do Pico;3411;
;2004502: Velas;4952;
;2004302: Vila da Praia da Vitória;19740;
;2004101: Vila do Porto;5502;
;2004206: Vila Franca do Campo;10398;
;3: Região Autónoma da Madeira;256622;
;30: Região Autónoma da Madeira;256622;
;300: Região Autónoma da Madeira;256622;
;3003101: Calheta;11162;
;3003102: Câmara de Lobos;32786;
;3003103: Funchal;107562;
;3003104: Machico;19595;
;3003105: Ponta do Sol;8709;
;3003106: Porto Moniz;2528;
;3003201: Porto Santo;5562;
;3003107: Ribeira Brava;13080;
;3003108: Santa Cruz;44178;
;3003109: Santana;6488;
;3003110: São Vicente;4972;

Resident population (No.) by Place of residence (NUTS - 2013), Sex and Age group (By life cycles) -  Annual - Statistics Portugal, Annual estimates of resident population

Note(s):
(1) 2011-2020, Final Resident Population Estimates - revised intercensal estimates (general regular revision) taking as reference the results of the 2011 and 2021 Censuses. From 2021 onwards, Provisional Resident Population Estimates - postcensal estimates based on the results of the 2021 Census .<BR>2022, Provisional Resident Population Estimates revised in June 2024, which include in the resident population displaced persons from Ukraine who are beneficiaries of the Temporary Protection regime in Portugal.

(2) Resident Population Estimates according to the administrative territorial division corresponding to the version of the Official Administrative Map of Portugal in force at the date of the 2021 Census (CAOP 2020) and the version of NUTS (NUTS 2013) in force from January 1, 2015.



This data last updated:june 18, 2024


Table Metadata

Resident population (No.)
Name;Resident population (No.) by Place of residence (NUTS - 2013), Sex and Age group (By life cycles) -  Annual
Regularity;Annual
Source;Statistics Portugal, Annual estimates of resident population
First available period;2011
Last available period;2023
Dimensions
     Dimension 1;Data reference period
     Dimension 2;Place of residence (NUTS - 2013)
     Dimension 3;Sex
     Dimension 4;Age group (By life cycles)
Concepts
     RESIDENT POPULATION;Set of persons who, regardless of being present or absent in a given housing unit at the moment of observation, have lived in the place of their usual residence for a continuous period of 12 months prior to the moment of observation, or have arrived to the place of their usual residence during the period of 12 months prior to the moment of observation, with the purpose of living there for a year, at least.
     REFERENCE PERIOD;Period to which the information refers and which may be a specific day or a time interval (month, fiscal year, calendar year, among others).
     AGE GROUP;The age interval in years to which a person belongs at the time of reference.
     SEX;Biological and physiological characteristics that define men and women.
Definition;
Formule;Estimated value
Measure unit (symbol);Number (No.)
Power of 10;0
Last update date;18-Jun-2024
