
Quadro extraído em 19 de Dezembro de 2025 (10:34:05)
http://www.ine.pt



Local de residência (NUTS - 2013) (1) ;Índice de dependência total (N.º) por Local de residência (NUTS - 2013) -  Anual;
;Período de referência dos dados (2) ;
;2023;
;N.º ;
2004302: Vila da Praia da Vitória;49,3;
2004101: Vila do Porto;48,1;
2004206: Vila Franca do Campo;43,5;
3: Região Autónoma da Madeira;49,5;
30: Região Autónoma da Madeira;49,5;
300: Região Autónoma da Madeira;49,5;
3003101: Calheta;58,2;
3003102: Câmara de Lobos;43,4;
3003103: Funchal;52,6;
3003104: Machico;49,1;
3003105: Ponta do Sol;49,6;
3003106: Porto Moniz;60;
3003201: Porto Santo;43,4;
3003107: Ribeira Brava;50;
3003108: Santa Cruz;42,2;
3003109: Santana;64;
3003110: São Vicente;60,3;

Índice de dependência total (N.º) por Local de residência (NUTS - 2013) -  Anual - INE, Estimativas anuais da população residente

Nota(s):
(1) Estimativas de População Residente segundo a divisão administrativa correspondente à versão da Carta Administrativa Oficial de Portugal em vigor à data dos Censos 2021 (CAOP 2020) e à versão das NUTS (NUTS 2013) em vigor a partir de 1 de janeiro de 2015.

(2) 2011-2020, Estimativas Definitivas de População Residente - estimativas intercensitárias revistas (revisão regular geral) tendo por referência os resultados dos Censos 2011 e 2021. A partir de 2021, Estimativas Provisórias de População Residente - estimativas pós-censitárias assentes nos resultados dos Censos 2021. <BR>2022, Estimativas Provisórias de População Residente revistas em junho de 2024, que incluem na população residente as pessoas deslocadas da Ucrânia beneficiárias do regime de Proteção Temporária em Portugal.



Última atualização destes dados: 18 de junho de 2024


Metainformação associada ao quadro

Índice de dependência total (N.º)
Designação;Índice de dependência total (N.º) por Local de residência (NUTS - 2013) -  Anual
Periodicidade;Anual
Fonte;INE, Estimativas anuais da população residente
Primeiro período disponível;2011
Último período disponível;2023
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência (NUTS - 2013)
Conceitos
     ÍNDICE DE DEPENDÊNCIA TOTAL;Relação entre a população jovem e idosa e a população em idade ativa, definida habitualmente como o quociente entre o número de pessoas com idades compreendidas entre os 0 e os 14 anos conjuntamente com as pessoas com 65 ou mais anos e o número de pessoas com idades compreendidas entre os 15 e os 64 anos (expressa habitualmente por 100 (10^2) pessoas com 15-64 anos).
     POPULAÇÃO RESIDENTE;Conjunto de pessoas que, independentemente de estarem presentes ou ausentes num determinado alojamento no momento de observação, viveram no seu local de residência habitual por um período contínuo de, pelo menos, 12 meses anteriores ao momento de observação, ou que chegaram ao seu local de residência habitual durante o período correspondente aos 12 meses anteriores ao momento de observação, com a intenção de aí permanecer por um período mínimo de um ano.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
Definição;
Fórmula;IDT=[(P(0, 14)+P(65, +))/ P(15, 64)]*10^n<br><br>P(0, 14)=População residente com idade entre 0 e 14 anos.<br>P(65, +)=População residente com 65 e mais anos de idade.<br>P(15, 64)=População residente com idade entre 15 e 64 anos.<br>n=2.
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;18-Jun-2024
