
Quadro extraído em 09 de Dezembro de 2025 (22:17:56)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);População empregada por conta de outrem (N.º) por Localização geográfica (NUTS - 2024), Sector de atividade económica (CAE Rev. 3) e Sexo -  Anual (1) ;
;;Setor de atividade económica (CAE Rev. 3);
;;Total;
;;Sexo;
;;HM;
;;N.º ;
(1) Os dados referem-se a trabalhadores por conta de outrem a tempo completo com remuneração completa.



Última atualização destes dados: 04 de abril de 2025


Metainformação associada ao quadro

População empregada por conta de outrem (N.º)
Designação;População empregada por conta de outrem (N.º) por Localização geográfica (NUTS - 2024), Sector de atividade económica (CAE Rev. 3) e Sexo -  Anual
Periodicidade;Anual
Fonte;MTSSS/GEP, Quadros de pessoal
Primeiro período disponível;2021
Último período disponível;2023
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2024)
     Dimensão 3;Setor de atividade económica (CAE Rev. 3)
     Dimensão 4;Sexo
Conceitos
     EMPREGO POR CONTA DE OUTREM;Emprego para o qual o titular tem um contrato explícito ou implícito, sujeito ou não a forma escrita, que lhes dá direito a uma remuneração base que não está diretamente dependente do rendimento da unidade para a qual trabalha.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     ESTABELECIMENTO;Empresa ou parte de uma empresa (fábrica, oficina, mina, armazém, loja, entreposto, etc.) situada num local topograficamente identificado. Nesse local ou a partir dele exercem-se atividades económicas para as quais, regra geral, uma ou várias pessoas trabalham (eventualmente a tempo parcial), por conta de uma mesma empresa.
     ATIVIDADE ECONÓMICA;Resultado da combinação dos fatores produtivos (mão de obra, matérias-primas, equipamento, etc.), com vista à produção de bens e serviços. Independentemente dos fatores produtivos que integram o bem ou serviço produzido, toda a atividade pressupõe, em termos genéricos, uma entrada de produtos (bens ou serviços), um processo de incorporação de valor acrescentado e uma saída (bens ou serviços).
     SEXO;Características biológicas e fisiológicas que definem homens e mulheres.
     TRABALHADOR POR CONTA DE OUTREM;Indivíduo que exerce uma atividade sob a autoridade e direção de outrem, nos termos de um contrato de trabalho, sujeito ou não a forma escrita, e que lhe confere o direito a uma remuneração, a qual não depende dos resultados da unidade económica para a qual trabalha.
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;04-Apr-2025
